,+/-,3P,3P%,3PA,AST,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Unnamed: 5,Unnamed: 7,player
359,-9.0,4.0,0.5710000000000001,7.0,1.0,1.0,7.0,12/23/17,9.0,0.529,17.0,2.0,1.0,2.0,30.0,1,19.1,31:50:00,1.0,SAS,2.0,24.0,32,0.0,0.0,8.0,,L (-9),buddy hield
360,-4.0,2.0,0.5,4.0,0.0,0.0,0.0,12/26/17,4.0,0.444,9.0,0.0,,0.0,31.0,0,2.7,17:33,0.0,LAC,4.0,10.0,33,1.0,2.0,0.0,@,L (-27),buddy hield
361,25.0,2.0,0.5,4.0,4.0,0.0,1.0,12/27/17,3.0,0.429,7.0,0.0,,0.0,32.0,0,8.7,24:07:00,1.0,CLE,1.0,8.0,34,1.0,0.0,2.0,,W (+14),buddy hield
362,-9.0,2.0,0.4,5.0,1.0,0.0,4.0,12/29/17,4.0,0.33299999999999996,12.0,2.0,1.0,2.0,33.0,0,4.5,24:42:00,0.0,PHO,4.0,12.0,35,0.0,1.0,4.0,,L (-10),buddy hield
363,5.0,3.0,0.429,7.0,2.0,1.0,1.0,12/31/17,5.0,0.35700000000000004,14.0,2.0,0.667,3.0,34.0,0,7.8,30:31:00,0.0,MEM,1.0,15.0,36,0.0,1.0,1.0,,L (-18),buddy hield
364,-19.0,2.0,0.667,3.0,2.0,0.0,2.0,1/2/18,2.0,0.5,4.0,0.0,,0.0,35.0,0,3.8,24:33:00,0.0,CHO,3.0,6.0,37,0.0,1.0,2.0,,L (-20),buddy hield
365,14.0,4.0,0.444,9.0,2.0,0.0,5.0,1/6/18,5.0,0.35700000000000004,14.0,0.0,,0.0,36.0,1,8.7,34:34:00,0.0,DEN,1.0,14.0,38,0.0,0.0,5.0,,W (+8),buddy hield
366,9.0,2.0,0.25,8.0,1.0,0.0,3.0,1/8/18,4.0,0.33299999999999996,12.0,0.0,,0.0,37.0,1,2.8,28:13:00,0.0,SAS,0.0,10.0,39,1.0,3.0,3.0,,L (-7),buddy hield
367,-14.0,3.0,0.75,4.0,2.0,0.0,1.0,1/9/18,4.0,0.364,11.0,2.0,1.0,2.0,38.0,1,6.8,22:31,0.0,LAL,2.0,13.0,40,1.0,2.0,1.0,@,L (-13),buddy hield
368,-4.0,2.0,0.28600000000000003,7.0,5.0,0.0,3.0,1/11/18,5.0,0.385,13.0,2.0,0.667,3.0,39.0,0,8.4,31:33:00,1.0,LAC,3.0,14.0,41,0.0,2.0,4.0,,L (-6),buddy hield
369,-13.0,0.0,0.0,2.0,0.0,0.0,4.0,1/13/18,5.0,0.625,8.0,0.0,,0.0,40.0,0,7.2,21:28,0.0,LAC,1.0,10.0,42,1.0,1.0,4.0,@,L (-21),buddy hield
370,2.0,0.0,0.0,5.0,4.0,0.0,4.0,1/15/18,6.0,0.4,15.0,4.0,1.0,4.0,41.0,0,11.8,27:54:00,1.0,OKC,2.0,16.0,43,0.0,0.0,5.0,@,L (-7),buddy hield
371,-12.0,1.0,0.33299999999999996,3.0,2.0,2.0,2.0,1/17/18,4.0,0.5710000000000001,7.0,0.0,,0.0,42.0,0,8.3,24:40:00,0.0,UTA,2.0,9.0,44,0.0,0.0,2.0,,L (-15),buddy hield
372,-6.0,2.0,0.5,4.0,2.0,0.0,6.0,1/19/18,4.0,0.364,11.0,3.0,1.0,3.0,43.0,0,12.0,25:58:00,1.0,MEM,2.0,13.0,45,2.0,0.0,7.0,@,L (-18),buddy hield
373,-7.0,4.0,0.667,6.0,2.0,0.0,5.0,1/22/18,6.0,0.462,13.0,2.0,1.0,2.0,44.0,0,12.0,26:42:00,0.0,CHO,3.0,18.0,46,0.0,1.0,5.0,@,L (-5),buddy hield
374,4.0,3.0,0.5,6.0,2.0,1.0,4.0,1/23/18,5.0,0.5,10.0,0.0,,0.0,45.0,0,12.8,28:15:00,1.0,ORL,3.0,13.0,47,4.0,2.0,5.0,@,W (+6),buddy hield
375,-2.0,4.0,0.5710000000000001,7.0,1.0,0.0,4.0,1/25/18,10.0,0.667,15.0,0.0,,0.0,46.0,0,18.1,28:36:00,1.0,MIA,0.0,24.0,48,0.0,2.0,5.0,@,W (+1),buddy hield
376,-8.0,0.0,0.0,3.0,2.0,0.0,0.0,1/28/18,0.0,0.0,5.0,0.0,,0.0,47.0,0,-3.3,19:55,0.0,SAS,3.0,0.0,49,0.0,0.0,0.0,@,L (-15),buddy hield
377,-2.0,0.0,0.0,4.0,0.0,0.0,1.0,1/30/18,4.0,0.444,9.0,0.0,,0.0,48.0,0,2.6,21:41,0.0,NOP,0.0,8.0,50,0.0,1.0,1.0,@,W (+11),buddy hield
378,-13.0,2.0,0.5,4.0,0.0,1.0,2.0,2/2/18,7.0,0.5,14.0,0.0,0.0,1.0,49.0,0,12.8,21:37,1.0,GSW,2.0,16.0,51,3.0,0.0,3.0,,L (-15),buddy hield
379,-13.0,3.0,0.5,6.0,0.0,1.0,3.0,2/3/18,5.0,0.385,13.0,0.0,,0.0,50.0,0,6.1,20:44,0.0,DAL,1.0,13.0,52,1.0,2.0,3.0,,L (-7),buddy hield
380,3.0,3.0,0.429,7.0,1.0,1.0,2.0,2/5/18,4.0,0.4,10.0,0.0,,0.0,51.0,0,7.2,21:14,0.0,CHI,1.0,11.0,53,0.0,0.0,2.0,,W (+6),buddy hield
381,-4.0,5.0,0.556,9.0,1.0,0.0,2.0,2/9/18,5.0,0.41700000000000004,12.0,1.0,0.5,2.0,52.0,0,8.3,22:08,0.0,POR,3.0,16.0,54,1.0,2.0,2.0,,L (-18),buddy hield
382,-13.0,2.0,0.4,5.0,1.0,1.0,2.0,2/11/18,6.0,0.462,13.0,2.0,1.0,2.0,53.0,0,11.3,18:52,2.0,MIN,1.0,16.0,55,2.0,3.0,4.0,@,L (-5),buddy hield
383,13.0,1.0,0.25,4.0,1.0,0.0,1.0,2/13/18,3.0,0.375,8.0,1.0,1.0,1.0,54.0,0,5.6,17:11,0.0,DAL,0.0,8.0,56,1.0,0.0,1.0,@,W (+5),buddy hield
384,1.0,2.0,0.222,9.0,1.0,0.0,4.0,2/14/18,5.0,0.35700000000000004,14.0,0.0,,0.0,55.0,0,3.9,22:28,0.0,HOU,3.0,12.0,57,1.0,2.0,4.0,@,L (-9),buddy hield
385,15.0,3.0,0.75,4.0,4.0,0.0,8.0,2/22/18,8.0,0.615,13.0,0.0,,0.0,56.0,0,18.6,29:07:00,1.0,OKC,1.0,19.0,58,1.0,1.0,9.0,,L (-3),buddy hield
386,3.0,5.0,0.5,10.0,1.0,0.0,4.0,2/24/18,8.0,0.47100000000000003,17.0,0.0,,0.0,57.0,0,12.4,31:05:00,4.0,LAL,4.0,21.0,59,0.0,3.0,8.0,,L (-5),buddy hield
387,-2.0,2.0,0.33299999999999996,6.0,3.0,1.0,3.0,2/26/18,7.0,0.467,15.0,0.0,,0.0,58.0,0,9.6,27:39:00,2.0,MIN,2.0,16.0,60,0.0,3.0,5.0,,L (-18),buddy hield
388,-8.0,0.0,0.0,4.0,2.0,2.0,5.0,2/27/18,2.0,0.182,11.0,2.0,1.0,2.0,59.0,0,3.0,28:46:00,0.0,POR,1.0,6.0,61,0.0,0.0,5.0,@,L (-17),buddy hield
389,17.0,1.0,0.5,2.0,4.0,0.0,4.0,3/1/18,6.0,0.462,13.0,3.0,1.0,3.0,60.0,0,14.5,34:13:00,0.0,BRK,2.0,16.0,62,3.0,1.0,4.0,,W (+5),buddy hield
390,-7.0,1.0,0.2,5.0,1.0,1.0,2.0,3/3/18,4.0,0.308,13.0,0.0,,0.0,61.0,0,2.3,29:19:00,2.0,UTA,4.0,9.0,63,0.0,1.0,4.0,,L (-7),buddy hield
391,-4.0,2.0,0.5,4.0,1.0,0.0,4.0,3/4/18,5.0,0.5,10.0,0.0,,0.0,62.0,0,6.5,26:42:00,0.0,NYK,1.0,12.0,64,1.0,3.0,4.0,,W (+3),buddy hield
392,-8.0,4.0,0.364,11.0,1.0,0.0,3.0,3/7/18,7.0,0.389,18.0,2.0,1.0,2.0,63.0,0,11.0,30:51:00,2.0,NOP,3.0,20.0,65,1.0,2.0,5.0,,L (-13),buddy hield
393,-6.0,0.0,0.0,2.0,3.0,0.0,2.0,3/9/18,0.0,0.0,8.0,0.0,,0.0,64.0,0,-4.4,29:36:00,1.0,ORL,3.0,0.0,66,1.0,2.0,3.0,,W (+6),buddy hield
394,-1.0,2.0,0.33299999999999996,6.0,4.0,1.0,4.0,3/11/18,8.0,0.5329999999999999,15.0,0.0,,0.0,65.0,0,15.7,27:08:00,1.0,DEN,1.0,18.0,67,0.0,0.0,5.0,@,L (-26),buddy hield
395,-2.0,1.0,0.25,4.0,0.0,2.0,1.0,3/12/18,1.0,0.16699999999999998,6.0,0.0,,0.0,66.0,0,0.9,14:55,0.0,OKC,0.0,3.0,68,0.0,0.0,1.0,@,L (-5),buddy hield
396,11.0,2.0,0.28600000000000003,7.0,3.0,1.0,4.0,3/14/18,9.0,0.563,16.0,4.0,1.0,4.0,67.0,0,23.4,31:24:00,2.0,MIA,1.0,24.0,69,2.0,0.0,6.0,,W (+4),buddy hield
397,15.0,5.0,0.5,10.0,7.0,0.0,7.0,3/16/18,7.0,0.5379999999999999,13.0,3.0,0.75,4.0,68.0,0,17.9,30:06:00,0.0,GSW,1.0,22.0,70,0.0,4.0,7.0,@,W (+5),buddy hield
398,14.0,5.0,0.625,8.0,6.0,0.0,6.0,3/17/18,9.0,0.6,15.0,0.0,,0.0,69.0,0,20.3,28:50:00,0.0,UTA,2.0,23.0,71,1.0,2.0,6.0,@,L (-6),buddy hield
399,-16.0,3.0,0.5,6.0,4.0,0.0,6.0,3/19/18,8.0,0.5329999999999999,15.0,1.0,1.0,1.0,70.0,1,14.5,32:44:00,0.0,DET,2.0,20.0,72,2.0,4.0,6.0,,L (-16),buddy hield
400,19.0,2.0,0.5,4.0,2.0,0.0,1.0,3/22/18,7.0,0.467,15.0,0.0,,0.0,71.0,0,9.5,28:21:00,1.0,ATL,3.0,16.0,73,2.0,2.0,2.0,,W (+15),buddy hield
401,-7.0,3.0,0.429,7.0,1.0,0.0,5.0,3/25/18,8.0,0.5,16.0,2.0,1.0,2.0,72.0,0,14.5,25:37:00,1.0,BOS,1.0,21.0,74,3.0,4.0,6.0,,L (-11),buddy hield
402,3.0,2.0,0.28600000000000003,7.0,2.0,0.0,2.0,3/27/18,6.0,0.4,15.0,0.0,,0.0,73.0,0,7.3,25:02:00,0.0,DAL,4.0,14.0,75,1.0,0.0,2.0,,L (-6),buddy hield
403,-7.0,4.0,0.5710000000000001,7.0,4.0,0.0,6.0,3/29/18,7.0,0.583,12.0,2.0,1.0,2.0,74.0,0,13.9,30:46:00,1.0,IND,2.0,20.0,76,0.0,5.0,7.0,,L (-3),buddy hield
404,-17.0,4.0,0.8,5.0,4.0,0.0,2.0,3/31/18,6.0,0.545,11.0,3.0,1.0,3.0,75.0,0,18.4,29:22:00,1.0,GSW,1.0,19.0,77,2.0,1.0,3.0,,L (-16),buddy hield
405,4.0,3.0,0.6,5.0,2.0,0.0,3.0,4/1/18,8.0,0.5329999999999999,15.0,0.0,,0.0,76.0,0,15.6,32:25:00,0.0,LAL,1.0,19.0,78,4.0,2.0,3.0,@,W (+1),buddy hield
406,-9.0,1.0,0.5,2.0,0.0,0.0,2.0,4/3/18,4.0,0.364,11.0,1.0,0.5,2.0,77.0,0,3.9,25:28:00,2.0,PHO,4.0,10.0,79,2.0,2.0,4.0,@,L (-3),buddy hield
407,-4.0,2.0,0.5,4.0,6.0,0.0,3.0,4/6/18,6.0,0.545,11.0,0.0,,0.0,78.0,0,11.6,34:06:00,2.0,MEM,4.0,14.0,80,3.0,5.0,5.0,@,W (+1),buddy hield
408,-22.0,3.0,0.5,6.0,1.0,1.0,2.0,4/9/18,7.0,0.41200000000000003,17.0,0.0,,0.0,79.0,0,9.8,32:04:00,1.0,SAS,2.0,17.0,81,2.0,2.0,3.0,@,L (-13),buddy hield
409,5.0,2.0,0.5,4.0,5.0,0.0,3.0,4/11/18,6.0,0.462,13.0,0.0,0.0,1.0,80.0,0,13.9,27:44:00,2.0,HOU,2.0,14.0,82,2.0,0.0,5.0,,W (+13),buddy hield
410,-7.0,0.0,0.0,2.0,5.0,0.0,2.0,10/18/17,7.0,0.467,15.0,0.0,,0.0,1.0,0,8.0,23:36,2.0,HOU,2.0,14.0,1,0.0,3.0,4.0,,L (-5),deaaron fox
411,-7.0,1.0,1.0,1.0,10.0,0.0,5.0,10/20/17,4.0,0.308,13.0,0.0,,0.0,2.0,0,8.5,26:19:00,1.0,DAL,3.0,9.0,2,1.0,2.0,6.0,@,W (+5),deaaron fox
412,-6.0,1.0,1.0,1.0,1.0,0.0,3.0,10/21/17,8.0,0.615,13.0,1.0,1.0,1.0,3.0,0,11.5,28:51:00,2.0,DEN,4.0,18.0,3,0.0,2.0,5.0,@,L (-17),deaaron fox
413,16.0,0.0,0.0,1.0,4.0,0.0,5.0,10/23/17,7.0,0.43799999999999994,16.0,5.0,0.833,6.0,4.0,0,15.3,30:20:00,0.0,PHO,3.0,19.0,4,3.0,1.0,5.0,@,L (-2),deaaron fox
414,-9.0,1.0,1.0,1.0,5.0,0.0,2.0,10/26/17,4.0,0.308,13.0,5.0,1.0,5.0,5.0,0,9.4,25:00:00,0.0,NOP,3.0,14.0,5,0.0,0.0,2.0,,L (-8),deaaron fox
415,-21.0,0.0,0.0,1.0,5.0,0.0,4.0,10/29/17,1.0,0.125,8.0,0.0,,0.0,6.0,1,-2.5,26:22:00,0.0,WAS,0.0,2.0,6,0.0,4.0,4.0,,L (-27),deaaron fox
416,0.0,0.0,0.0,2.0,5.0,0.0,2.0,10/31/17,9.0,0.5,18.0,0.0,0.0,1.0,7.0,0,13.7,27:46:00,2.0,IND,1.0,18.0,7,1.0,1.0,4.0,@,L (-18),deaaron fox
417,-13.0,0.0,,0.0,6.0,0.0,3.0,11/1/17,2.0,0.25,8.0,2.0,0.667,3.0,8.0,0,4.1,28:05:00,0.0,BOS,2.0,6.0,8,1.0,2.0,3.0,@,L (-27),deaaron fox
418,-11.0,0.0,0.0,2.0,4.0,0.0,0.0,11/4/17,5.0,0.5,10.0,4.0,0.667,6.0,9.0,1,6.4,26:51:00,0.0,DET,4.0,14.0,9,0.0,3.0,0.0,@,L (-9),deaaron fox
419,4.0,0.0,0.0,2.0,8.0,1.0,2.0,11/7/17,5.0,0.5,10.0,0.0,,0.0,10.0,0,6.1,23:54,0.0,OKC,2.0,10.0,10,0.0,5.0,2.0,,W (+8),deaaron fox
420,5.0,0.0,0.0,3.0,7.0,0.0,3.0,11/9/17,4.0,0.308,13.0,3.0,0.429,7.0,11.0,0,7.0,29:34:00,1.0,PHI,1.0,11.0,11,0.0,1.0,4.0,,W (+1),deaaron fox
421,-10.0,0.0,0.0,1.0,2.0,0.0,1.0,11/11/17,2.0,0.28600000000000003,7.0,4.0,0.8,5.0,12.0,0,5.4,24:56:00,0.0,NYK,2.0,8.0,12,1.0,0.0,1.0,@,L (-27),deaaron fox
422,-9.0,1.0,0.25,4.0,5.0,0.0,3.0,11/13/17,3.0,0.3,10.0,3.0,0.75,4.0,13.0,0,5.4,25:46:00,0.0,WAS,2.0,10.0,13,0.0,2.0,3.0,@,L (-18),deaaron fox
423,-32.0,0.0,,0.0,2.0,0.0,1.0,11/15/17,1.0,0.25,4.0,0.0,,0.0,14.0,0,0.9,18:55,0.0,ATL,1.0,2.0,14,2.0,2.0,1.0,@,L (-46),deaaron fox
424,-8.0,0.0,,0.0,4.0,1.0,1.0,11/17/17,4.0,0.5,8.0,1.0,0.5,2.0,15.0,1,6.3,26:33:00,1.0,POR,2.0,9.0,15,2.0,4.0,2.0,,W (+4),deaaron fox
425,-9.0,1.0,1.0,1.0,2.0,0.0,2.0,11/18/17,5.0,0.556,9.0,0.0,,0.0,16.0,1,8.5,27:36:00,0.0,POR,3.0,11.0,16,2.0,1.0,2.0,@,L (-12),deaaron fox
426,-9.0,1.0,1.0,1.0,5.0,0.0,3.0,11/20/17,4.0,0.444,9.0,3.0,1.0,3.0,17.0,0,7.7,32:23:00,0.0,DEN,5.0,12.0,17,1.0,3.0,3.0,,L (-16),deaaron fox
427,-8.0,2.0,1.0,2.0,3.0,0.0,3.0,11/22/17,5.0,0.455,11.0,1.0,0.5,2.0,18.0,1,5.8,23:02,1.0,LAL,2.0,13.0,18,1.0,5.0,4.0,,W (+11),deaaron fox
428,4.0,0.0,0.0,1.0,3.0,0.0,4.0,11/25/17,2.0,0.222,9.0,0.0,,0.0,19.0,1,2.4,28:57:00,0.0,LAC,1.0,4.0,19,2.0,1.0,4.0,,L (-2),deaaron fox
429,-3.0,0.0,,0.0,4.0,0.0,4.0,11/27/17,3.0,0.429,7.0,0.0,,0.0,20.0,1,5.1,23:06,0.0,GSW,3.0,6.0,20,2.0,2.0,4.0,@,W (+4),deaaron fox
430,-24.0,0.0,0.0,3.0,2.0,0.0,1.0,11/28/17,2.0,0.2,10.0,0.0,,0.0,21.0,1,-3.7,23:58,0.0,MIL,3.0,4.0,21,0.0,2.0,1.0,,L (-25),deaaron fox
431,8.0,0.0,0.0,1.0,2.0,4.0,4.0,12/1/17,4.0,0.5710000000000001,7.0,0.0,,0.0,22.0,1,7.6,27:47:00,1.0,CHI,3.0,8.0,22,0.0,2.0,5.0,@,W (+1),deaaron fox
432,-16.0,1.0,0.5,2.0,3.0,0.0,4.0,12/2/17,5.0,0.5,10.0,3.0,0.75,4.0,23.0,1,11.1,20:37,2.0,MIL,3.0,14.0,23,1.0,2.0,6.0,@,L (-5),deaaron fox
433,-3.0,0.0,0.0,1.0,2.0,1.0,1.0,12/6/17,3.0,0.5,6.0,0.0,0.0,1.0,24.0,1,0.6,28:50:00,0.0,CLE,1.0,6.0,24,0.0,4.0,1.0,@,L (-6),deaaron fox
434,5.0,1.0,0.33299999999999996,3.0,4.0,0.0,1.0,12/8/17,5.0,0.35700000000000004,14.0,3.0,0.75,4.0,25.0,1,9.5,36:27:00,0.0,NOP,1.0,14.0,25,2.0,1.0,1.0,@,W (+7),deaaron fox
435,-11.0,0.0,,0.0,2.0,0.0,1.0,12/10/17,3.0,0.375,8.0,0.0,0.0,2.0,26.0,1,-4.1,23:22,0.0,TOR,4.0,6.0,26,2.0,7.0,1.0,,L (-15),deaaron fox
436,-2.0,1.0,1.0,1.0,0.0,0.0,2.0,12/12/17,3.0,0.6,5.0,0.0,,0.0,27.0,1,5.9,21:13,0.0,PHO,1.0,7.0,27,1.0,0.0,2.0,,W (+7),deaaron fox
437,-4.0,0.0,0.0,1.0,2.0,0.0,0.0,12/14/17,0.0,0.0,1.0,2.0,1.0,2.0,28.0,1,0.7,7:28,0.0,MIN,0.0,2.0,28,0.0,2.0,0.0,@,L (-23),deaaron fox
438,,,,,,,,12/17/17,,,,,,,,Inactive,,,,TOR,,,29,,,,@,L (-15),deaaron fox
439,-4.0,0.0,,0.0,1.0,0.0,1.0,12/19/17,1.0,0.25,4.0,0.0,0.0,2.0,29.0,1,-2.0,11:22,0.0,PHI,2.0,2.0,30,0.0,1.0,1.0,@,W (+6),deaaron fox
440,,,,,,,,12/20/17,,,,,,,,Inactive,,,,BRK,,,31,,,,@,W (+5),deaaron fox
441,,,,,,,,12/23/17,,,,,,,,Inactive,,,,SAS,,,32,,,,,L (-9),deaaron fox
442,,,,,,,,12/26/17,,,,,,,,Inactive,,,,LAC,,,33,,,,@,L (-27),deaaron fox
443,,,,,,,,12/27/17,,,,,,,,Inactive,,,,CLE,,,34,,,,,W (+14),deaaron fox
444,,,,,,,,12/29/17,,,,,,,,Inactive,,,,PHO,,,35,,,,,L (-10),deaaron fox
445,,,,,,,,12/31/17,,,,,,,,Inactive,,,,MEM,,,36,,,,,L (-18),deaaron fox
446,-19.0,1.0,0.25,4.0,4.0,0.0,2.0,1/2/18,5.0,0.41700000000000004,12.0,6.0,0.75,8.0,30.0,1,11.1,32:49:00,1.0,CHO,2.0,17.0,37,1.0,3.0,3.0,,L (-20),deaaron fox
447,19.0,0.0,,0.0,7.0,0.0,2.0,1/6/18,6.0,0.545,11.0,6.0,0.75,8.0,31.0,1,13.1,35:08:00,1.0,DEN,5.0,18.0,38,1.0,4.0,3.0,,W (+8),deaaron fox
448,-13.0,1.0,0.33299999999999996,3.0,10.0,0.0,3.0,1/8/18,5.0,0.556,9.0,0.0,,0.0,32.0,1,11.3,30:09:00,1.0,SAS,0.0,11.0,39,0.0,4.0,4.0,,L (-7),deaaron fox
449,-26.0,3.0,0.6,5.0,3.0,1.0,1.0,1/9/18,6.0,0.375,16.0,0.0,0.0,1.0,33.0,1,9.5,32:10:00,0.0,LAL,1.0,15.0,40,4.0,3.0,1.0,@,L (-13),deaaron fox
450,-17.0,0.0,0.0,3.0,6.0,0.0,0.0,1/11/18,3.0,0.3,10.0,2.0,1.0,2.0,34.0,1,6.2,29:22:00,0.0,LAC,3.0,8.0,41,3.0,2.0,0.0,,L (-6),deaaron fox
451,-15.0,1.0,0.25,4.0,10.0,0.0,1.0,1/13/18,6.0,0.353,17.0,4.0,0.8,5.0,35.0,1,11.2,35:21:00,0.0,LAC,3.0,17.0,42,2.0,4.0,1.0,@,L (-21),deaaron fox
452,4.0,1.0,0.33299999999999996,3.0,5.0,0.0,3.0,1/15/18,4.0,0.444,9.0,3.0,0.75,4.0,36.0,1,7.7,27:07:00,0.0,OKC,4.0,12.0,43,0.0,2.0,3.0,@,L (-7),deaaron fox
453,-8.0,0.0,0.0,1.0,4.0,1.0,1.0,1/17/18,1.0,0.16699999999999998,6.0,4.0,1.0,4.0,37.0,1,1.6,35:58:00,0.0,UTA,6.0,6.0,44,1.0,3.0,1.0,,L (-15),deaaron fox
454,-15.0,1.0,0.33299999999999996,3.0,6.0,1.0,2.0,1/19/18,5.0,0.41700000000000004,12.0,5.0,1.0,5.0,38.0,1,9.5,32:20:00,0.0,MEM,4.0,16.0,45,0.0,4.0,2.0,@,L (-18),deaaron fox
455,1.0,1.0,0.33299999999999996,3.0,7.0,0.0,3.0,1/22/18,6.0,0.462,13.0,3.0,0.6,5.0,39.0,1,13.1,31:11:00,0.0,CHO,3.0,16.0,46,1.0,1.0,3.0,@,L (-5),deaaron fox
456,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1/23/18,3.0,0.5,6.0,0.0,,0.0,40.0,1,4.3,10:31,1.0,ORL,1.0,7.0,47,0.0,0.0,1.0,@,W (+6),deaaron fox
457,16.0,0.0,0.0,1.0,4.0,0.0,2.0,1/25/18,6.0,0.4,15.0,2.0,0.667,3.0,41.0,1,7.0,29:31:00,1.0,MIA,4.0,14.0,48,1.0,2.0,3.0,@,W (+1),deaaron fox
458,-8.0,6.0,1.0,6.0,3.0,1.0,0.0,1/28/18,8.0,0.5329999999999999,15.0,4.0,1.0,4.0,42.0,1,20.7,33:26:00,0.0,SAS,2.0,26.0,49,0.0,0.0,0.0,@,L (-15),deaaron fox
459,9.0,1.0,0.33299999999999996,3.0,4.0,0.0,3.0,1/30/18,6.0,0.429,14.0,2.0,1.0,2.0,43.0,1,10.6,27:12:00,3.0,NOP,2.0,15.0,50,1.0,3.0,6.0,@,W (+11),deaaron fox
460,-6.0,0.0,0.0,2.0,6.0,1.0,2.0,2/2/18,6.0,0.353,17.0,4.0,0.8,5.0,44.0,1,9.8,31:05:00,0.0,GSW,2.0,16.0,51,1.0,2.0,2.0,,L (-15),deaaron fox
461,6.0,0.0,0.0,3.0,4.0,0.0,1.0,2/3/18,7.0,0.5379999999999999,13.0,1.0,0.5,2.0,45.0,1,11.2,35:07:00,0.0,DAL,3.0,15.0,52,3.0,2.0,1.0,,L (-7),deaaron fox
462,-6.0,0.0,0.0,1.0,2.0,0.0,1.0,2/5/18,2.0,0.28600000000000003,7.0,1.0,0.5,2.0,46.0,1,0.5,16:45,1.0,CHI,1.0,5.0,53,0.0,2.0,2.0,,W (+6),deaaron fox
463,-21.0,0.0,0.0,2.0,9.0,0.0,5.0,2/9/18,3.0,0.33299999999999996,9.0,7.0,0.778,9.0,47.0,1,11.5,33:44:00,2.0,POR,2.0,13.0,54,0.0,4.0,7.0,,L (-18),deaaron fox
464,-3.0,1.0,0.33299999999999996,3.0,2.0,0.0,2.0,2/11/18,8.0,0.5,16.0,6.0,0.75,8.0,48.0,1,13.8,34:48:00,0.0,MIN,1.0,23.0,55,3.0,5.0,2.0,@,L (-5),deaaron fox
465,-5.0,1.0,0.33299999999999996,3.0,7.0,0.0,4.0,2/13/18,5.0,0.41700000000000004,12.0,0.0,,0.0,49.0,1,8.7,31:12:00,0.0,DAL,0.0,11.0,56,1.0,3.0,4.0,@,W (+5),deaaron fox
466,-17.0,1.0,0.33299999999999996,3.0,3.0,0.0,2.0,2/14/18,3.0,0.3,10.0,2.0,1.0,2.0,50.0,1,2.7,25:47:00,0.0,HOU,3.0,9.0,57,1.0,3.0,2.0,@,L (-9),deaaron fox
467,,,,,,,,2/22/18,,,,,,,,Inactive,,,,OKC,,,58,,,,,L (-3),deaaron fox
468,-13.0,1.0,0.33299999999999996,3.0,6.0,0.0,1.0,2/24/18,5.0,0.385,13.0,2.0,0.667,3.0,51.0,1,10.6,30:03:00,0.0,LAL,1.0,13.0,59,1.0,0.0,1.0,,L (-5),deaaron fox
469,-13.0,3.0,0.75,4.0,5.0,0.0,2.0,2/26/18,5.0,0.556,9.0,0.0,,0.0,52.0,1,10.0,27:11:00,0.0,MIN,2.0,13.0,60,0.0,2.0,2.0,,L (-18),deaaron fox
470,-9.0,1.0,0.25,4.0,8.0,0.0,3.0,2/27/18,5.0,0.33299999999999996,15.0,2.0,1.0,2.0,53.0,1,11.0,33:25:00,0.0,POR,0.0,13.0,61,3.0,3.0,3.0,@,L (-17),deaaron fox
471,5.0,1.0,0.5,2.0,1.0,3.0,2.0,3/1/18,10.0,0.588,17.0,0.0,,0.0,54.0,1,12.7,36:17:00,0.0,BRK,2.0,21.0,62,2.0,5.0,2.0,,W (+5),deaaron fox
472,-3.0,0.0,0.0,2.0,3.0,0.0,4.0,3/3/18,7.0,0.5,14.0,3.0,1.0,3.0,55.0,1,10.7,27:30:00,0.0,UTA,4.0,17.0,63,2.0,3.0,4.0,,L (-7),deaaron fox
473,7.0,2.0,0.5,4.0,2.0,0.0,2.0,3/4/18,4.0,0.33299999999999996,12.0,0.0,,0.0,56.0,1,3.1,28:39:00,1.0,NYK,2.0,10.0,64,1.0,3.0,3.0,,W (+3),deaaron fox
474,1.0,0.0,,0.0,1.0,0.0,0.0,3/7/18,1.0,0.33299999999999996,3.0,0.0,,0.0,57.0,1,1.0,5:04,0.0,NOP,0.0,2.0,65,0.0,0.0,0.0,,L (-13),deaaron fox
475,,,,,,,,3/9/18,,,,,,,,Inactive,,,,ORL,,,66,,,,,W (+6),deaaron fox
476,-22.0,0.0,0.0,2.0,9.0,0.0,3.0,3/11/18,4.0,0.444,9.0,4.0,0.667,6.0,58.0,1,12.9,30:22:00,0.0,DEN,2.0,12.0,67,0.0,0.0,3.0,@,L (-26),deaaron fox
477,-3.0,1.0,0.33299999999999996,3.0,10.0,1.0,1.0,3/12/18,4.0,0.33299999999999996,12.0,2.0,0.667,3.0,59.0,1,9.6,33:33:00,0.0,OKC,3.0,11.0,68,1.0,2.0,1.0,@,L (-5),deaaron fox
478,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3/14/18,9.0,0.643,14.0,2.0,0.4,5.0,60.0,1,13.9,35:25:00,1.0,MIA,2.0,20.0,69,0.0,1.0,2.0,,W (+4),deaaron fox
